election_date,next_election_date,parties_in_folketing,days_to_next_election,note
1945-10-30,1947-10-28,7,728,
1947-10-28,1950-09-05,7,1043,"Hovedstadens Venstre er talt som selvstaendigt parti."
1950-09-05,1953-04-21,6,959,"Tysk mindretals kandidat uden for partierne er ikke talt med."
1953-04-21,1953-09-22,6,154,"Kandidater uden for partierne er ikke talt med."
1953-09-22,1957-05-14,7,1330,
1957-05-14,1960-11-15,7,1281,
1960-11-15,1964-09-22,7,1407,
1964-09-22,1966-11-22,6,791,
1966-11-22,1968-01-23,6,427,
1968-01-23,1971-09-21,6,1337,
1971-09-21,1973-12-04,5,805,
1973-12-04,1975-01-09,10,401,
1975-01-09,1977-02-15,10,768,
1977-02-15,1979-10-23,11,980,
1979-10-23,1981-12-08,10,777,
1981-12-08,1984-01-10,9,763,
1984-01-10,1987-09-08,8,1337,
1987-09-08,1988-05-10,9,245,
1988-05-10,1990-12-12,8,946,
1990-12-12,1994-09-21,8,1379,
1994-09-21,1998-03-11,8,1267,"Jacob Haugaard blev valgt uden for partierne og er ikke talt med i antal partier."
1998-03-11,2001-11-20,10,1350,
2001-11-20,2005-02-08,8,1176,
2005-02-08,2007-11-13,7,1008,
2007-11-13,2011-09-15,8,1402,
2011-09-15,2015-06-18,8,1372,
2015-06-18,2019-06-05,9,1448,
2019-06-05,2022-11-01,10,1245,
2022-11-01,2026-03-24,12,1239,"Sidste raekke er beregnet til dags dato 2026-03-24."
